GID,GO,EVIDENCE
SEN_RS15370,GO:0008933,IEA
SEN_RS15175,GO:0005886,IEA
SEN_RS15175,GO:0016020,IEA
SEN_RS08320,GO:0006355,IEA
SEN_RS08320,GO:0003700,IEA
SEN_RS08320,GO:0003677,IEA
SEN_RS13395,GO:0008033,IEA
SEN_RS13395,GO:0005829,IEA
SEN_RS13395,GO:0016740,IEA
SEN_RS13395,GO:0016432,IEA
SEN_RS10200,GO:0006310,IEA
SEN_RS10200,GO:0005829,IEA
SEN_RS10200,GO:0009295,IEA
SEN_RS10200,GO:0005737,IEA
SEN_RS12080,GO:0009401,IEA
SEN_RS12080,GO:0005886,IEA
SEN_RS12080,GO:0016020,IEA
SEN_RS12080,GO:0005215,IEA
SEN_RS14360,GO:0005829,IEA
SEN_RS14360,GO:0050661,IEA
SEN_RS14360,GO:0051287,IEA
SEN_RS14360,GO:0016491,IEA
SEN_RS00920,GO:0007155,IEA
SEN_RS00920,GO:0005576,IEA
SEN_RS00920,GO:0009289,IEA
SEN_RS16015,GO:0005829,IEA
SEN_RS20515,GO:0042254,IEA
SEN_RS20515,GO:0006412,IEA
SEN_RS20515,GO:0005829,IEA
SEN_RS20515,GO:0015934,IEA
SEN_RS20515,GO:0005840,IEA
SEN_RS20515,GO:0003735,IEA
SEN_RS20515,GO:0019843,IEA
SEN_RS20515,GO:0003723,IEA
SEN_RS20515,GO:0070180,IEA
SEN_RS18130,GO:0004040,IEA
SEN_RS18770,GO:0005215,IEA
SEN_RS16310,GO:0005886,IEA
SEN_RS16310,GO:0005215,IEA
SEN_RS00440,GO:0006813,IEA
SEN_RS00440,GO:0032414,IEA
SEN_RS00440,GO:1901381,IEA
SEN_RS00440,GO:0005829,IEA
SEN_RS00440,GO:0016020,IEA
SEN_RS00440,GO:0005886,IEA
SEN_RS00440,GO:0016491,IEA
SEN_RS00440,GO:0010181,IEA
SEN_RS00440,GO:0003955,IEA
SEN_RS00440,GO:0005215,IEA
SEN_RS02410,GO:0005829,IEA
SEN_RS02410,GO:0005737,IEA
SEN_RS02410,GO:0016787,IEA
SEN_RS02410,GO:0052689,IEA
SEN_RS03765,GO:0015689,IEA
SEN_RS03765,GO:0030288,IEA
SEN_RS03765,GO:0046872,IEA
SEN_RS02920,GO:0005829,IEA
SEN_RS02920,GO:0016614,IEA
SEN_RS02920,GO:0046872,IEA
SEN_RS02920,GO:0016491,IEA
SEN_RS09255,GO:0006355,IEA
SEN_RS09255,GO:0003677,IEA
SEN_RS21005,GO:0006355,IEA
SEN_RS21005,GO:0006979,IEA
SEN_RS21005,GO:0005829,IEA
SEN_RS21005,GO:0051537,IEA
SEN_RS21005,GO:0051536,IEA
SEN_RS21005,GO:0003677,IEA
SEN_RS20265,GO:0005886,IEA
SEN_RS20265,GO:0016020,IEA
SEN_RS10205,GO:0005829,IEA
SEN_RS12085,GO:0009401,IEA
SEN_RS12085,GO:0034219,IEA
SEN_RS12085,GO:0008982,IEA
SEN_RS12085,GO:0016740,IEA
SEN_RS18365,GO:0009058,IEA
SEN_RS18365,GO:0006567,IEA
SEN_RS18365,GO:0019518,IEA
SEN_RS18365,GO:0005829,IEA
SEN_RS18365,GO:0003824,IEA
SEN_RS18365,GO:0016746,IEA
SEN_RS18365,GO:0016740,IEA
SEN_RS18365,GO:0016874,IEA
SEN_RS18365,GO:0030170,IEA
SEN_RS18365,GO:0008890,IEA
SEN_RS13400,GO:0005829,IEA
SEN_RS13400,GO:0008080,IEA
SEN_RS13400,GO:0046872,IEA
SEN_RS13400,GO:0005524,IEA
SEN_RS13400,GO:0000166,IEA
SEN_RS01520,GO:0006260,IEA
SEN_RS01520,GO:0006974,IEA
SEN_RS01520,GO:0006281,IEA
SEN_RS01520,GO:0006261,IEA
SEN_RS01520,GO:0071897,IEA
SEN_RS01520,GO:0005829,IEA
SEN_RS01520,GO:0005737,IEA
SEN_RS01520,GO:0003684,IEA
SEN_RS01520,GO:0016740,IEA
SEN_RS01520,GO:0016779,IEA
SEN_RS01520,GO:0046872,IEA
SEN_RS01520,GO:0000287,IEA
SEN_RS01520,GO:0003887,IEA
SEN_RS01520,GO:0003677,IEA
SEN_RS00090,GO:0005975,IEA
SEN_RS00090,GO:0005576,IEA
SEN_RS00090,GO:0008061,IEA
SEN_RS00090,GO:0004553,IEA
SEN_RS00090,GO:0030246,IEA
SEN_RS00090,GO:0016787,IEA
SEN_RS14365,GO:0006355,IEA
SEN_RS14365,GO:0005829,IEA
SEN_RS14365,GO:0003700,IEA
SEN_RS14365,GO:0003677,IEA
SEN_RS07915,GO:0005829,IEA
SEN_RS07915,GO:0016620,IEA
SEN_RS07915,GO:0016491,IEA
SEN_RS11210,GO:0000160,IEA
SEN_RS11210,GO:0005829,IEA
SEN_RS11210,GO:0003677,IEA
SEN_RS17060,GO:0008033,IEA
SEN_RS17060,GO:0005737,IEA
SEN_RS04200,GO:0055085,IEA
